image,empty,not_adipocyte,adipocyte
5 BEEF Shoulder _r12_c29.jpg,0.113391,0.863257,0.023352
5 BEEF Shoulder _r12_c31.jpg,0.096232,0.889315,0.014453
5 BEEF Shoulder _r12_c6.jpg,0.275632,0.720447,0.003921
5 BEEF Shoulder _r13_c13.jpg,0.034673,0.956915,0.008413
5 BEEF Shoulder _r13_c14.jpg,0.154819,0.828926,0.016255
5 BEEF Shoulder _r13_c15.jpg,0.048073,0.939068,0.012859
5 BEEF Shoulder _r13_c16.jpg,0.091141,0.897609,0.011250
5 BEEF Shoulder _r13_c20.jpg,0.059143,0.926696,0.014161
5 BEEF Shoulder _r13_c22.jpg,0.175825,0.789690,0.034486
5 BEEF Shoulder _r13_c23.jpg,0.019280,0.970187,0.010533
5 BEEF Shoulder _r13_c27.jpg,0.023628,0.955225,0.021147
5 BEEF Shoulder _r13_c28.jpg,0.408598,0.360191,0.231211
5 BEEF Shoulder _r13_c32.jpg,0.135315,0.768371,0.096314
5 BEEF Shoulder _r14_c12.jpg,0.201806,0.776206,0.021988
5 BEEF Shoulder _r14_c13.jpg,0.178089,0.813165,0.008745
5 BEEF Shoulder _r14_c14.jpg,0.253091,0.735583,0.011325
5 BEEF Shoulder _r14_c15.jpg,0.043950,0.947580,0.008470
5 BEEF Shoulder _r14_c16.jpg,0.119386,0.862308,0.018306
5 BEEF Shoulder _r14_c20.jpg,0.108719,0.760723,0.130557
5 BEEF Shoulder _r14_c21.jpg,0.067919,0.909011,0.023070
5 BEEF Shoulder _r14_c22.jpg,0.081052,0.896079,0.022869
5 BEEF Shoulder _r14_c23.jpg,0.364282,0.616121,0.019598
5 BEEF Shoulder _r14_c24.jpg,0.179985,0.766508,0.053508
5 BEEF Shoulder _r14_c25.jpg,0.081148,0.894274,0.024578
5 BEEF Shoulder _r14_c27.jpg,0.215476,0.762225,0.022298
5 BEEF Shoulder _r14_c29.jpg,0.101403,0.864966,0.033632
5 BEEF Shoulder _r14_c31.jpg,0.012091,0.975186,0.012723
5 BEEF Shoulder _r15_c10.jpg,0.180283,0.800027,0.019690
5 BEEF Shoulder _r15_c11.jpg,0.021837,0.976018,0.002146
5 BEEF Shoulder _r15_c13.jpg,0.188885,0.753392,0.057722
5 BEEF Shoulder _r15_c14.jpg,0.321538,0.666028,0.012433
5 BEEF Shoulder _r15_c15.jpg,0.206598,0.729452,0.063950
5 BEEF Shoulder _r15_c16.jpg,0.043536,0.948944,0.007520
5 BEEF Shoulder _r15_c22.jpg,0.142375,0.824615,0.033010
5 BEEF Shoulder _r15_c23.jpg,0.253828,0.681202,0.064970
5 BEEF Shoulder _r15_c24.jpg,0.109433,0.869815,0.020752
5 BEEF Shoulder _r15_c25.jpg,0.120344,0.870790,0.008866
5 BEEF Shoulder _r15_c26.jpg,0.082020,0.877791,0.040190
5 BEEF Shoulder _r15_c27.jpg,0.023648,0.969727,0.006625
5 BEEF Shoulder _r15_c29.jpg,0.024489,0.966558,0.008953
5 BEEF Shoulder _r15_c31.jpg,0.016527,0.975741,0.007731
5 BEEF Shoulder _r15_c33.jpg,0.134160,0.768018,0.097822
5 BEEF Shoulder _r16_c10.jpg,0.184603,0.808312,0.007085
5 BEEF Shoulder _r16_c13.jpg,0.063943,0.925185,0.010873
5 BEEF Shoulder _r16_c15.jpg,0.021931,0.943969,0.034100
5 BEEF Shoulder _r16_c16.jpg,0.047532,0.941076,0.011392
5 BEEF Shoulder _r16_c20.jpg,0.011371,0.985703,0.002926
5 BEEF Shoulder _r16_c22.jpg,0.130868,0.857395,0.011737
5 BEEF Shoulder _r16_c23.jpg,0.191496,0.787486,0.021018
5 BEEF Shoulder _r16_c24.jpg,0.074545,0.904872,0.020583
5 BEEF Shoulder _r16_c9.jpg,0.028541,0.952263,0.019197
5 BEEF Shoulder _r17_c13.jpg,0.028680,0.959149,0.012171
5 BEEF Shoulder _r17_c14.jpg,0.295542,0.653810,0.050649
5 BEEF Shoulder _r17_c15.jpg,0.142874,0.841044,0.016082
5 BEEF Shoulder _r17_c16.jpg,0.463704,0.472552,0.063744
5 BEEF Shoulder _r17_c17.jpg,0.012835,0.980053,0.007112
5 BEEF Shoulder _r17_c18.jpg,0.049724,0.915254,0.035023
5 BEEF Shoulder _r17_c20.jpg,0.028512,0.954898,0.016590
5 BEEF Shoulder _r17_c22.jpg,0.184412,0.805193,0.010396
5 BEEF Shoulder _r17_c23.jpg,0.125208,0.859488,0.015304
5 BEEF Shoulder _r17_c24.jpg,0.135176,0.820973,0.043851
5 BEEF Shoulder _r17_c25.jpg,0.172790,0.781430,0.045780
5 BEEF Shoulder _r17_c26.jpg,0.011542,0.983427,0.005032
5 BEEF Shoulder _r17_c27.jpg,0.006428,0.988664,0.004908
5 BEEF Shoulder _r17_c28.jpg,0.013130,0.983555,0.003314
5 BEEF Shoulder _r17_c29.jpg,0.002955,0.987971,0.009074
5 BEEF Shoulder _r17_c31.jpg,0.014568,0.960382,0.025050
5 BEEF Shoulder _r17_c9.jpg,0.009380,0.965937,0.024684
5 BEEF Shoulder _r18_c13.jpg,0.147191,0.794842,0.057967
5 BEEF Shoulder _r18_c14.jpg,0.165791,0.829937,0.004272
5 BEEF Shoulder _r18_c15.jpg,0.106198,0.880059,0.013743
5 BEEF Shoulder _r18_c16.jpg,0.083465,0.907966,0.008569
5 BEEF Shoulder _r18_c17.jpg,0.074999,0.913627,0.011373
5 BEEF Shoulder _r18_c18.jpg,0.114521,0.879867,0.005612
5 BEEF Shoulder _r18_c22.jpg,0.078288,0.888408,0.033304
5 BEEF Shoulder _r18_c23.jpg,0.248595,0.740197,0.011208
